Country,Playstation 3,Playstation 4,Xbox 360,Xbox One,Wii,Wii U,Nintendo 3Ds,Playstation Vita
Yemen,46,42,25,22,11,0,5,13
UAE,28,62,20,23,4,4,3,3
Tunisia,62,37,24,13,9,4,3,3
Syria,52,51,48,29,18,0,10,11
Sudan,56,37,17,15,9,0,5,11
Somalia,38,32,28,25,0,0,0,0
Saudi Arabia,33,61,16,17,3,2,1,2
Qatar,26,58,15,22,6,5,5,4
Palestine,28,71,52,35,6,3,4,2
Oman,34,48,12,11,5,4,4,5
Morocco,56,34,34,20,7,3,4,3
Mauritania,28,25,17,21,10,0,0,9
Libya,62,44,23,9,6,3,2,0
Lebanon,41,64,22,10,4,4,2,3
Kuwait,25,62,7,16,3,4,3,1
Jordan,59,65,37,15,5,3,3,1
Iraq,32,48,59,18,2,1,2,2
Djibouti,25,32,15,22,5,0,0,0
Egypt,61,63,28,13,4,2,2,3
Bahrain,27,55,10,12,4,4,4,4
Algeria,32,21,56,14,4,2,2,2
